intitule_poste,ville,date_publication,mois,contrat,entreprise,source,secteur,competences,experience,exp_min,exp_max
Assistant(e) Comptable Bilingue,Dakar,2026-01-29,2026-01-01,CDD,SUNDA INTERNATIONAL,goafricaonline.com,BTP & Industrie,finance,Non spécifié,,
Superviseur Transport Bilingue,Dakar,2026-01-29,2026-01-01,CDD,SUNDA INTERNATIONAL,goafricaonline.com,BTP & Industrie,"communication, logistique",Non spécifié,,
"Technicien(ne) supérieur(e) systèmes, réseaux informatiques et télécommunications",Dakar,2026-01-29,2026-01-01,CDD,ANACIM SN,goafricaonline.com,Administration & Services publics,,Non spécifié,,
Observateur météorologique,Dakar,2026-01-29,2026-01-01,CDD,ANACIM SN,goafricaonline.com,Administration & Services publics,,Non spécifié,,
Technicien(ne) supérieur(e) équipements et systèmes météorologiques,Dakar,2026-01-29,2026-01-01,CDD,ANACIM SN,goafricaonline.com,Administration & Services publics,,Non spécifié,,
Cadre chargé(e) du système d’informations météorologiques,Dakar,2026-01-29,2026-01-01,CDD,ANACIM SN,goafricaonline.com,Administration & Services publics,,Non spécifié,,
Cadre assistance météorologique à la navigation aérienne,Dakar,2026-01-29,2026-01-01,CDD,ANACIM SN,goafricaonline.com,Administration & Services publics,,Non spécifié,,
Agent collecte et transmission de données météorologiques,Dakar,2026-01-29,2026-01-01,CDD,ANACIM SN,goafricaonline.com,Administration & Services publics,,Non spécifié,,
Cadre navigabilité (air),Dakar,2026-01-29,2026-01-01,CDD,ANACIM SN,goafricaonline.com,Administration & Services publics,,Non spécifié,,
Comptable Senior,Dakar,2026-01-29,2026-01-01,CDD,GPF SARL,goafricaonline.com,"Finance, Banque & Comptabilité",finance,2,2.0,2.0
Middle Mile & Vendor Operations Manager,Dakar,2026-01-29,2026-01-01,Non spécifié,MAERSK SENEGAL,goafricaonline.com,Transport & Logistique,"finance, vente, communication, data analyse, logistique, santé",2,2.0,2.0
Stage d’immersion en Audit et Contrôle de Gestion,Dakar,2026-01-29,2026-01-01,CDD,PATISEN,goafricaonline.com,Agriculture & Agroalimentaire,"finance, communication",Non spécifié,,
Référent Qualité de service,Dakar,2026-01-29,2026-01-01,CDI,DAKAR MOBILITE,goafricaonline.com,Transport & Logistique,,Non spécifié,,
Bilingual Executive Assistant,Dakar,2026-01-29,2026-01-01,CDD,TOPWORK SENEGAL,goafricaonline.com,RH & Recrutement,non spécifié,Non spécifié,,
Télévendeurs,Dakar,2026-01-29,2026-01-01,CDD,Quality center,goafricaonline.com,Marketing & Communication,,Non spécifié,,
Strategic Program Development Advisor,Dakar,2026-01-29,2026-01-01,CDD,DRC,goafricaonline.com,ONG & Humanitaire,,Non spécifié,,
"Regional Industry Director, Infrastructure & Natural Resources",Dakar,2026-01-29,2026-01-01,CDI,Ifc/ Senegal (Institut De Formation Des Conseillers En Organisations),goafricaonline.com,Education & Formation,"marketing, programmation, vente, communication, finance, santé, gestion de projet",2,2.0,2.0
Déclarant Douanes,Dakar,,,Non spécifié,Africa Global Logistics Sénégal,goafricaonline.com,Transport & Logistique,logistique,Non spécifié,,
Agent Sûreté,Dakar,2026-01-29,2026-01-01,CDD,Industries Chimiques Du Senegal,goafricaonline.com,BTP & Industrie,"communication, finance, rh",10-15,10.0,15.0
HR Officer – Hub,Dakar,2026-01-29,2026-01-01,CDD,DRC,goafricaonline.com,ONG & Humanitaire,rh,Non spécifié,,
